Date,Entry_Time,Side,Net_Pts,Net_INR,Exit_Reason
2025-11-13,2025-11-13 09:16:04.829,LONG,12.799999999999272,959.9999999999454,TIME
2025-11-13,2025-11-13 09:36:08.240,LONG,7.200000000000728,540.0000000000546,TIME
2025-11-13,2025-11-13 09:58:46.821,LONG,22.700000000000728,1702.5000000000546,TIME
2025-11-13,2025-11-13 10:18:50.623,LONG,9.299999999999272,697.4999999999454,TIME
2025-11-13,2025-11-13 10:40:24.637,LONG,28.799999999999272,2159.9999999999454,TIME
2025-11-13,2025-11-13 11:00:42.091,LONG,13.899999999997817,1042.4999999998363,TIME
2025-11-13,2025-11-13 11:20:44.967,SHORT,-6.900000000001455,-517.5000000001091,TIME
2025-11-13,2025-11-13 11:42:25.879,LONG,10.099999999998545,757.4999999998909,TIME
2025-11-13,2025-11-13 12:02:48.395,LONG,7.0,525.0,TIME
2025-11-13,2025-11-13 12:22:59.456,SHORT,33.29999999999927,2497.4999999999454,TIME
2025-11-13,2025-11-13 12:43:27.467,LONG,26.599999999998545,1994.9999999998909,TIME
2025-11-13,2025-11-13 13:04:07.911,LONG,8.5,637.5,TIME
2025-11-13,2025-11-13 13:24:49.244,SHORT,-15.200000000000728,-1140.0000000000546,TIME
2025-11-13,2025-11-13 13:44:54.436,LONG,-31.099999999998545,-2332.499999999891,SL
2025-11-13,2025-11-13 13:53:44.453,LONG,-31.0,-2325.0,SL
2025-11-13,2025-11-13 13:59:39.185,LONG,-34.29999999999927,-2572.4999999999454,SL
2025-11-13,2025-11-13 14:01:28.234,LONG,-32.70000000000073,-2452.5000000000546,SL
2025-11-13,2025-11-13 14:09:14.697,LONG,-32.29999999999927,-2422.4999999999454,SL
2025-11-13,2025-11-13 14:15:22.883,SHORT,-8.5,-637.5,TIME
2025-11-13,2025-11-13 14:37:50.202,SHORT,22.299999999999272,1672.4999999999454,TIME
2025-11-13,2025-11-13 15:00:31.836,SHORT,-31.099999999998545,-2332.499999999891,SL
