Trade_ID,Entry,Exit,Strike,IV,Entry_Cost,Exit_Value,Opt_PnL_Pts,Fut_PnL_Pts,Hedge_Volume,Rehedge_Count,Net_Pts,Net_INR
0,2025-11-19 09:16:35.139,2025-11-19 09:36:35.808,25950,0.14656953024864197,444.4,423.6,-20.799999999999955,0.0,0.0,0,-20.799999999999955,-1559.9999999999966
1,2025-11-19 09:36:53.337,2025-11-19 09:56:54.805,25950,0.1427891168296337,432.85,422.20000000000005,-10.649999999999977,0.6509186290346634,0.02880170924932446,1,-9.999081370965314,-749.9311028223985
2,2025-11-19 09:57:39.457,2025-11-19 10:17:40.366,25950,0.14324328787624835,433.6,428.55,-5.050000000000011,0.0,0.0,0,-5.050000000000011,-378.75000000000085
3,2025-11-19 10:17:47.119,2025-11-19 10:37:47.343,26000,0.14268602141737935,432.29999999999995,421.25,-11.049999999999955,0.0,0.0,0,-11.049999999999955,-828.7499999999966
4,2025-11-19 10:38:14.122,2025-11-19 10:58:15.614,26000,0.1426250878572464,431.7,416.45,-15.25,0.0,0.0,0,-15.25,-1143.75
5,2025-11-19 11:01:18.919,2025-11-19 11:21:19.886,25950,0.14336783666908742,433.25,415.85,-17.399999999999977,0.42503338621986586,0.04250333862198219,1,-16.97496661378011,-1273.1224960335085
6,2025-11-19 11:21:26.341,2025-11-19 11:41:27.076,25950,0.14153789310157297,427.05,416.7,-10.350000000000023,-0.4724737560873109,0.027310621739152996,1,-10.822473756087334,-811.68553170655
7,2025-11-19 11:41:37.446,2025-11-19 12:01:39.058,26000,0.13921161663532255,420.45,417.1,-3.349999999999966,0.8069012082627296,0.021234242322703822,1,-2.5430987917372363,-190.73240938029272
8,2025-11-19 12:02:09.454,2025-11-19 12:22:10.418,26050,0.14132216744124887,427.15,418.65,-8.5,0.1443246929078441,0.02186737771330366,1,-8.355675307092156,-626.6756480319117
9,2025-11-19 12:22:15.969,2025-11-19 12:42:17.484,26050,0.14288096411526205,431.25,421.70000000000005,-9.549999999999955,0.0,0.0,0,-9.549999999999955,-716.2499999999966
10,2025-11-19 12:43:53.228,2025-11-19 13:03:54.720,26050,0.1436355569809675,433.1,424.0,-9.100000000000023,0.0,0.0,0,-9.100000000000023,-682.5000000000017
11,2025-11-19 13:04:32.977,2025-11-19 13:24:34.255,26050,0.14503859317302703,436.85,425.70000000000005,-11.149999999999977,0.43289185853518575,0.02081210858342164,1,-10.717108141464792,-803.7831106098594
12,2025-11-19 13:24:44.756,2025-11-19 13:44:46.279,26050,0.14546557503938676,437.70000000000005,419.4,-18.300000000000068,0.0,0.0,0,-18.300000000000068,-1372.500000000005
13,2025-11-19 13:45:44.535,2025-11-19 14:05:45.811,26050,0.14334075922518968,430.95000000000005,421.85,-9.100000000000023,0.0,0.0,0,-9.100000000000023,-682.5000000000017
14,2025-11-19 14:05:48.800,2025-11-19 14:25:49.776,26050,0.14450084333121777,434.1,423.45,-10.650000000000034,0.0,0.0,0,-10.650000000000034,-798.7500000000025
15,2025-11-19 14:25:50.813,2025-11-19 14:45:51.802,26100,0.14252132202684875,428.7,420.7,-8.0,-0.07715756259631235,0.022045017884647633,1,-8.077157562596312,-605.7868171947234
16,2025-11-19 14:46:15.866,2025-11-19 15:06:20.139,26100,0.143576969884336,431.55,418.3,-13.25,-0.33680323921021227,0.02928723819218848,1,-13.586803239210212,-1019.0102429407659
17,2025-11-19 15:06:59.474,2025-11-19 15:27:00.061,26050,0.14587460459768772,437.3,425.7,-11.600000000000023,0.05669455779434429,0.037796371862933276,1,-11.543305442205678,-865.7479081654259
18,2025-11-19 15:27:09.579,2025-11-19 16:36:55.095,26050,0.14604422038793566,437.29999999999995,422.85,-14.449999999999932,-0.3922078881480502,0.03410503375200702,1,-14.842207888147982,-1113.1655916110985
