Date,Entry_Time,Entry_LTP,ATM_Strike,Exit_Time,Exit_LTP
2025-11-19,2025-11-19 09:16:35.139,25931.0,25950,2025-11-19 09:36:35.808,25928.6
2025-11-19,2025-11-19 09:36:53.337,25925.2,25950,2025-11-19 09:56:54.805,25946.6
2025-11-19,2025-11-19 09:57:39.457,25955.6,25950,2025-11-19 10:17:40.366,26000.0
2025-11-19,2025-11-19 10:17:47.119,25999.9,26000,2025-11-19 10:37:47.343,25999.4
2025-11-19,2025-11-19 10:38:14.122,25998.0,26000,2025-11-19 10:58:15.614,25980.4
2025-11-19,2025-11-19 11:01:18.919,25973.0,25950,2025-11-19 11:21:19.886,25962.0
2025-11-19,2025-11-19 11:21:26.341,25962.0,25950,2025-11-19 11:41:27.076,25979.0
2025-11-19,2025-11-19 11:41:37.446,25981.0,26000,2025-11-19 12:01:39.058,26021.4
2025-11-19,2025-11-19 12:02:09.454,26029.3,26050,2025-11-19 12:22:10.418,26039.0
2025-11-19,2025-11-19 12:22:15.969,26040.0,26050,2025-11-19 12:42:17.484,26049.9
2025-11-19,2025-11-19 12:43:53.228,26052.7,26050,2025-11-19 13:03:54.720,26055.0
2025-11-19,2025-11-19 13:04:32.977,26055.0,26050,2025-11-19 13:24:34.255,26053.7
2025-11-19,2025-11-19 13:24:44.756,26051.0,26050,2025-11-19 13:44:46.279,26030.0
2025-11-19,2025-11-19 13:45:44.535,26042.3,26050,2025-11-19 14:05:45.811,26057.0
2025-11-19,2025-11-19 14:05:48.800,26057.0,26050,2025-11-19 14:25:49.776,26079.6
2025-11-19,2025-11-19 14:25:50.813,26079.9,26100,2025-11-19 14:45:51.802,26075.0
2025-11-19,2025-11-19 14:46:15.866,26075.0,26100,2025-11-19 15:06:20.139,26064.5
2025-11-19,2025-11-19 15:06:59.474,26070.0,26050,2025-11-19 15:27:00.061,26066.1
2025-11-19,2025-11-19 15:27:09.579,26067.7,26050,2025-11-19 16:36:55.095,26078.0
