Date,Entry_Time,Exit_Time,ATM_Strike,Straddle_PnL_pts,Straddle_PnL_rupees
2025-11-20,2025-11-20 09:15:27.208,2025-11-20 09:35:27.440,26150,3.6499999999999773,91.24999999999943
2025-11-20,2025-11-20 09:35:50.172,2025-11-20 09:55:50.726,26100,3.0500000000000114,76.25000000000028
2025-11-20,2025-11-20 09:56:31.776,2025-11-20 10:16:32.092,26100,-2.449999999999932,-61.249999999998295
2025-11-20,2025-11-20 10:17:53.252,2025-11-20 10:37:53.253,26150,-6.5,-162.5
2025-11-20,2025-11-20 10:37:59.969,2025-11-20 10:57:59.997,26150,-4.600000000000023,-115.00000000000057
2025-11-20,2025-11-20 10:58:08.995,2025-11-20 11:18:09.272,26150,-0.3499999999999943,-8.749999999999858
2025-11-20,2025-11-20 11:19:15.750,2025-11-20 11:39:15.833,26150,-3.3000000000000114,-82.50000000000028
2025-11-20,2025-11-20 11:40:27.785,2025-11-20 12:00:28.316,26150,-1.1999999999999886,-29.999999999999716
2025-11-20,2025-11-20 12:01:26.843,2025-11-20 12:21:27.853,26150,-1.0500000000000114,-26.250000000000284
2025-11-20,2025-11-20 12:23:41.313,2025-11-20 12:43:41.619,26200,-0.799999999999983,-19.999999999999574
2025-11-20,2025-11-20 12:43:47.581,2025-11-20 13:03:48.648,26200,-1.75,-43.75
2025-11-20,2025-11-20 13:04:10.326,2025-11-20 13:24:10.387,26200,-0.6500000000000057,-16.250000000000142
2025-11-20,2025-11-20 13:24:50.845,2025-11-20 13:44:50.878,26200,14.900000000000006,372.5000000000001
2025-11-20,2025-11-20 13:45:24.108,2025-11-20 14:05:24.411,26250,0.04999999999998295,1.2499999999995737
2025-11-20,2025-11-20 14:05:45.124,2025-11-20 14:25:45.489,26250,-0.4000000000000057,-10.000000000000142
2025-11-20,2025-11-20 14:26:06.421,2025-11-20 14:46:06.785,26250,-2.700000000000017,-67.50000000000043
2025-11-20,2025-11-20 14:46:45.012,2025-11-20 15:06:45.184,26200,-6.250000000000028,-156.2500000000007
2025-11-20,2025-11-20 15:06:53.012,2025-11-20 15:26:53.086,26200,-3.75,-93.75
